Date,Utility,SARS_CoV_2_copies_L,Number_of_New_COVID19_Cases_by_,ObjectId
08/29/2020,Fort Collins - Mulberry,,0,463
08/20/2020,Fort Collins - Drake,37557.1,9,464
09/02/2020,Wellington Water and Sewer,,0,465
08/22/2020,Metro Wastewater RWHTF - PRC,,50,466
08/29/2020,Greeley,,9,467
08/20/2020,Fort Collins - Mulberry,4983.8,0,468
09/03/2020,Aurora,18477.5,20,469
08/22/2020,Northglenn,,0,470
08/29/2020,Longmont,,0,471
08/20/2020,Greeley,3221.1,0,472
09/03/2020,Boulder,38466.4,29,473
08/22/2020,Pueblo,,5,474
08/29/2020,Louisville,,0,475
08/20/2020,Longmont,4737.7,0,476
09/03/2020,Broomfield,2363.1,0,477
08/22/2020,Pueblo West,,0,478
08/29/2020,Loveland,,0,479
08/20/2020,Louisville,1426.2,0,480
09/03/2020,CO Springs - JD Phillips,15799.5,5,481
08/22/2020,South Adams County,,0,482
08/29/2020,Metro Wastewater RWHTF - CC,,22,483
08/20/2020,Loveland,,0,484
09/03/2020,CO Springs - Las Vegas,6185.5,14,485
08/22/2020,South Fort Collins,,0,486
08/29/2020,Metro Wastewater RWHTF - PRC,,25,487
08/20/2020,Metro Wastewater RWHTF - CC,,29,488
09/03/2020,Estes Park + Upper Thompson,5504.4,0,489
08/22/2020,SPR,,8,490
08/29/2020,Northglenn,,0,491
08/20/2020,Metro Wastewater RWHTF - PRC,3329.5,51,492
09/03/2020,Fort Collins - Boxelder,16389.7,0,493
08/22/2020,Wellington Water and Sewer,,0,494
08/29/2020,Pueblo,,0,495
08/20/2020,Northglenn,,0,496
09/03/2020,Fort Collins - Drake,20166.8,11,497
08/23/2020,Aurora,,18,498
08/29/2020,Pueblo West,,0,499
08/20/2020,Pueblo,15298.5,5,500
09/03/2020,Fort Collins - Mulberry,1306.5,0,501
08/23/2020,Boulder,,0,502
08/29/2020,South Adams County,,7,503
08/20/2020,Pueblo West,,0,504
09/03/2020,Greeley,3382.6,9,505
08/23/2020,Broomfield,,0,506
08/29/2020,South Fort Collins,,0,507
08/20/2020,South Adams County,22079.7,0,508
09/03/2020,Longmont,1665.5,0,509
09/03/2020,Louisville,1073.5,0,510
09/03/2020,Loveland,,6,511
09/03/2020,Metro Wastewater RWHTF - CC,,31,512
09/03/2020,Metro Wastewater RWHTF - PRC,11407.8,43,513
09/03/2020,Northglenn,,0,514
09/03/2020,Pueblo,11674.9,0,515
09/03/2020,Pueblo West,,0,516
09/03/2020,South Adams County,9730.1,8,517
09/03/2020,South Fort Collins,4163.2,0,518
09/03/2020,SPR,8157.2,13,519
09/03/2020,Wellington Water and Sewer,,0,520
09/04/2020,Aurora,,22,521
09/04/2020,Boulder,,34,522
09/04/2020,Broomfield,,0,523
09/04/2020,CO Springs - JD Phillips,,5,524
09/04/2020,CO Springs - Las Vegas,,13,525
09/04/2020,Estes Park + Upper Thompson,,0,526
09/04/2020,Fort Collins - Boxelder,,0,527
09/04/2020,Fort Collins - Drake,,8,528
09/04/2020,Fort Collins - Mulberry,,0,529
09/04/2020,Greeley,,8,530
09/04/2020,Longmont,,0,531
09/04/2020,Louisville,,0,532
09/04/2020,Loveland,,5,533
09/04/2020,Metro Wastewater RWHTF - CC,,28,534
09/04/2020,Metro Wastewater RWHTF - PRC,,41,535
09/04/2020,Northglenn,23492.1,0,536
09/04/2020,Pueblo,,0,537
09/04/2020,Pueblo West,,0,538
09/04/2020,South Adams County,,8,539
09/04/2020,South Fort Collins,,0,540
09/04/2020,SPR,,9,541
09/04/2020,Wellington Water and Sewer,,0,542
09/05/2020,Aurora,,17,543
09/05/2020,Boulder,,30,544
09/05/2020,Broomfield,,0,545
08/29/2020,SPR,,8,546
08/20/2020,South Fort Collins,3267.5,0,547
09/05/2020,CO Springs - JD Phillips,,0,548
08/29/2020,Wellington Water and Sewer,,0,549
08/23/2020,CO Springs - JD Phillips,,0,550
08/20/2020,SPR,6634.5,8,551
09/05/2020,CO Springs - Las Vegas,,9,552
08/30/2020,Aurora,,12,553
08/23/2020,CO Springs - Las Vegas,,13,554
08/20/2020,Wellington Water and Sewer,,0,555
09/05/2020,Estes Park + Upper Thompson,,0,556
08/30/2020,Boulder,,6,557
08/23/2020,Estes Park + Upper Thompson,,0,558
08/21/2020,Aurora,,19,559
09/05/2020,Fort Collins - Boxelder,,0,560
08/30/2020,Broomfield,,0,561
08/23/2020,Fort Collins - Boxelder,,0,562
08/21/2020,Boulder,,5,563
09/05/2020,Fort Collins - Drake,,6,564
08/30/2020,CO Springs - JD Phillips,,0,565
08/23/2020,Fort Collins - Drake,,5,566
08/21/2020,Broomfield,,0,567
09/05/2020,Fort Collins - Mulberry,,0,568
08/30/2020,CO Springs - Las Vegas,,10,569
08/23/2020,Fort Collins - Mulberry,,0,570
08/21/2020,CO Springs - JD Phillips,,0,571
09/05/2020,Greeley,,7,572
08/30/2020,Estes Park + Upper Thompson,,0,573
08/23/2020,Greeley,,5,574
08/21/2020,CO Springs - Las Vegas,,16,575
09/05/2020,Longmont,,0,576
08/30/2020,Fort Collins - Boxelder,,0,577
08/23/2020,Longmont,,0,578
08/21/2020,Estes Park + Upper Thompson,,0,579
09/05/2020,Louisville,,0,580
08/30/2020,Fort Collins - Drake,,5,581
08/23/2020,Louisville,,0,582
08/21/2020,Fort Collins - Boxelder,,0,583
09/05/2020,Loveland,,0,584
08/30/2020,Fort Collins - Mulberry,,0,585
08/23/2020,Loveland,,0,586
08/21/2020,Fort Collins - Drake,,6,587
09/05/2020,Metro Wastewater RWHTF - CC,,23,588
08/30/2020,Greeley,,8,589
08/23/2020,Metro Wastewater RWHTF - CC,,28,590
08/21/2020,Fort Collins - Mulberry,,0,591
09/05/2020,Metro Wastewater RWHTF - PRC,,40,592
09/05/2020,Northglenn,,0,593
09/05/2020,Pueblo,,0,594
09/05/2020,Pueblo West,,0,595
09/05/2020,South Adams County,,5,596
09/05/2020,South Fort Collins,,0,597
09/05/2020,SPR,,8,598
09/05/2020,Wellington Water and Sewer,,0,599
09/06/2020,Aurora,,16,600
09/06/2020,Boulder,,30,601
09/06/2020,Broomfield,,0,602
09/06/2020,CO Springs - JD Phillips,,0,603
09/06/2020,CO Springs - Las Vegas,,8,604
09/06/2020,Estes Park + Upper Thompson,,0,605
09/06/2020,Fort Collins - Boxelder,,0,606
09/06/2020,Fort Collins - Drake,,0,607
09/06/2020,Fort Collins - Mulberry,,0,608
09/06/2020,Greeley,,5,609
09/06/2020,Longmont,,0,610
09/06/2020,Louisville,,0,611
09/06/2020,Loveland,,0,612
09/06/2020,Metro Wastewater RWHTF - CC,,20,613
09/06/2020,Metro Wastewater RWHTF - PRC,,36,614
09/06/2020,Northglenn,,0,615
09/06/2020,Pueblo,,0,616
09/06/2020,Pueblo West,,0,617
09/06/2020,South Adams County,,0,618
09/06/2020,South Fort Collins,,0,619
09/06/2020,SPR,,6,620
09/06/2020,Wellington Water and Sewer,,0,621
09/07/2020,Aurora,,11,622
09/07/2020,Boulder,,36,623
09/07/2020,Broomfield,,0,624
09/07/2020,CO Springs - JD Phillips,,0,625
09/07/2020,CO Springs - Las Vegas,,11,626
09/07/2020,Estes Park + Upper Thompson,,0,627
09/07/2020,Fort Collins - Boxelder,,0,628
09/07/2020,Fort Collins - Drake,,0,629
08/27/2020,Aurora,,18,630
08/27/2020,Boulder,12215.9,6,631
