COUNTY,LABEL,FULL_,FIPS,POP,Desc_,Metric,Value,Rate,Date,ObjectId
LAS ANIMAS,Las Animas,Las Animas County,71,14491,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,41.4,06/10/2020,20989
LOGAN,Logan,Logan County,75,21854,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,2887.3,06/10/2020,20990
MESA,Mesa,Mesa County,77,153630,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,42.3,06/10/2020,20991
MOFFAT,Moffat,Moffat County,81,13181,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,60.7,06/10/2020,20992
MONTEZUMA,Montezuma,Montezuma County,83,26159,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,221.7,06/10/2020,20993
MONTROSE,Montrose,Montrose County,85,42260,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,449.6,06/10/2020,20994
MORGAN,Morgan,Morgan County,87,28503,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,2259.4,06/10/2020,20995
OTERO,Otero,Otero County,89,18364,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,119.8,06/10/2020,20996
OURAY,Ouray,Ouray County,91,4798,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,166.7,06/10/2020,20997
PARK,Park,Park County,93,18557,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,129.3,06/10/2020,20998
PHILLIPS,Phillips,Phillips County,95,4266,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,351.6,06/10/2020,20999
PITKIN,Pitkin,Pitkin County,97,17879,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,352.4,06/10/2020,21000
PROWERS,Prowers,Prowers County,99,12078,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,132.5,06/10/2020,21001
PUEBLO,Pueblo,Pueblo County,101,167116,"Case Rates Per 100,000 People in Colorado by County","Rate Per 100,000",,193.9,06/10/2020,21002
